participant_label,treatment,stratum,peer_id
Klimareferat_DEMO_T2_3,3,partner,3
Klimareferat_DEMO_T2_4,3,partner,4
Klimareferat_DEMO_T2_5,3,partner,5
Klimareferat_DEMO_T2_6,3,partner,6
Jakob_DEMO_C,1,coauthor,
Jakob_DEMO_T1,2,coauthor,
Jakob_DEMO_T2_1,3,coauthor,1
Jakob_DEMO_T2_2,3,coauthor,2
Jakob_DEMO_T2_3,3,coauthor,3
Elisa1_DEMO_C,1,coauthor,
Elisa1_DEMO_T1,2,coauthor,
Elisa1_DEMO_T2_1,3,coauthor,1
Elisa1_DEMO_T2_2,3,coauthor,2
Elisa2_DEMO_C,1,coauthor,
Elisa2_DEMO_T1,2,coauthor,
Elisa2_DEMO_T2_1,3,coauthor,1
Elisa2_DEMO_T2_2,3,coauthor,2
Elisa3_DEMO_C,1,coauthor,
Elisa3_DEMO_T1,2,coauthor,
Elisa3_DEMO_T2_1,3,coauthor,1
Elisa3_DEMO_T2_2,3,coauthor,2
Elisa4_DEMO_C,1,coauthor,
Elisa4_DEMO_T1,2,coauthor,
Elisa4_DEMO_T2_1,3,coauthor,1
Elisa4_DEMO_T2_2,3,coauthor,2
Elisa5_DEMO_C,1,coauthor,
Elisa5_DEMO_T1,2,coauthor,
Elisa5_DEMO_T2_1,3,coauthor,1
Elisa5_DEMO_T2_2,3,coauthor,2
Guido1_DEMO_C,1,coauthor,
Guido1_DEMO_T1,2,coauthor,
Guido1_DEMO_T2_1,3,coauthor,1
Guido1_DEMO_T2_2,3,coauthor,2
Guido2_DEMO_C,1,coauthor,
Guido2_DEMO_T1,2,coauthor,
Guido2_DEMO_T2_1,3,coauthor,1
Guido2_DEMO_T2_2,3,coauthor,2
Guido3_DEMO_C,1,coauthor,
Guido3_DEMO_T1,2,coauthor,
Guido3_DEMO_T2_1,3,coauthor,1
Guido3_DEMO_T2_2,3,coauthor,2
Guido4_DEMO_C,1,coauthor,
Guido4_DEMO_T1,2,coauthor,
Guido4_DEMO_T2_1,3,coauthor,1
Guido4_DEMO_T2_2,3,coauthor,2
Guido5_DEMO_C,1,coauthor,
Guido5_DEMO_T1,2,coauthor,
Guido5_DEMO_T2_1,3,coauthor,1
Guido5_DEMO_T2_2,3,coauthor,2
Martin1_DEMO_C,1,coauthor,
Martin1_DEMO_T1,2,coauthor,
Martin1_DEMO_T2_1,3,coauthor,1
Martin1_DEMO_T2_2,3,coauthor,2
Martin2_DEMO_C,1,coauthor,
Martin2_DEMO_T1,2,coauthor,
Martin2_DEMO_T2_1,3,coauthor,1
Martin2_DEMO_T2_2,3,coauthor,2
Martin3_DEMO_C,1,coauthor,
Martin3_DEMO_T1,2,coauthor,
Martin3_DEMO_T2_1,3,coauthor,1
Martin3_DEMO_T2_2,3,coauthor,2
Martin4_DEMO_C,1,coauthor,
Martin4_DEMO_T1,2,coauthor,
Martin4_DEMO_T2_1,3,coauthor,1
Martin4_DEMO_T2_2,3,coauthor,2
Martin5_DEMO_C,1,coauthor,
Martin5_DEMO_T1,2,coauthor,
Martin5_DEMO_T2_1,3,coauthor,1
Martin5_DEMO_T2_2,3,coauthor,2
Jakob1_DEMO_C,1,coauthor,
Jakob1_DEMO_T1,2,coauthor,
Jakob1_DEMO_T2_1,3,coauthor,1
Jakob2_DEMO_C,1,coauthor,
Jakob2_DEMO_T1,2,coauthor,
Jakob2_DEMO_T2_1,3,coauthor,1
Jakob3_DEMO_C,1,coauthor,
Jakob3_DEMO_T1,2,coauthor,
Jakob3_DEMO_T2_1,3,coauthor,1
Jakob4_DEMO_C,1,coauthor,
Jakob4_DEMO_T1,2,coauthor,
Jakob4_DEMO_T2_1,3,coauthor,1
Jakob5_DEMO_C,1,coauthor,
Jakob5_DEMO_T1,2,coauthor,
Jakob5_DEMO_T2_1,3,coauthor,1
Klimareferat1_DEMO_C,1,partner,
Klimareferat1_DEMO_T1,2,partner,
Klimareferat1_DEMO_T2_1,3,partner,1
Klimareferat1_DEMO_T2_2,3,partner,2
Klimareferat2_DEMO_C,1,partner,
Klimareferat2_DEMO_T1,2,partner,
Klimareferat2_DEMO_T2_1,3,partner,1
Klimareferat2_DEMO_T2_2,3,partner,2
Klimareferat3_DEMO_C,1,partner,
Klimareferat3_DEMO_T1,2,partner,
Klimareferat3_DEMO_T2_1,3,partner,1
Klimareferat3_DEMO_T2_2,3,partner,2
Klimareferat4_DEMO_C,1,partner,
Klimareferat4_DEMO_T1,2,partner,
Klimareferat4_DEMO_T2_1,3,partner,1
Klimareferat4_DEMO_T2_2,3,partner,2
Klimareferat5_DEMO_C,1,partner,
Klimareferat5_DEMO_T1,2,partner,
Klimareferat5_DEMO_T2_1,3,partner,1
Klimareferat5_DEMO_T2_2,3,partner,2
